Name,Lat,Lon,Cluster
GP_10177,32.25,94.0,7
GP_10178,32.25,94.25,7
GP_10179,32.25,94.5,7
GP_1018,53.0,82.25,1
GP_10180,32.25,94.75,7
GP_10181,32.25,95.0,7
GP_10182,32.25,95.25,7
GP_10183,32.25,95.5,7
GP_10184,32.25,95.75,7
GP_10185,32.25,96.0,7
GP_10186,32.25,96.25,7
GP_10187,32.25,96.5,7
GP_10188,32.25,96.75,7
GP_10189,32.25,97.0,7
GP_1019,52.5,82.75,1
GP_10190,32.25,97.25,7
GP_10191,32.25,97.5,7
GP_10192,32.25,97.75,7
GP_10193,32.25,98.25,7
GP_10194,32.25,98.5,7
GP_10195,32.25,98.75,7
GP_10196,32.25,99.0,7
GP_10197,32.25,99.25,7
GP_10198,32.25,99.5,7
GP_10199,32.25,99.75,7
GP_102,39.5,-106.25,12
GP_1020,52.75,85.0,1
GP_10200,32.25,100.0,7
GP_10201,32.25,100.25,7
GP_10202,32.25,100.5,7
GP_10203,32.25,100.75,7
GP_10204,32.25,101.0,7
GP_10205,32.25,101.25,7
GP_10206,32.25,101.5,7
GP_10207,32.25,101.75,7
GP_10208,32.25,102.0,7
GP_10209,32.25,102.25,7
GP_1021,52.75,87.25,1
GP_10210,32.25,102.5,7
GP_10211,32.25,120.75,7
GP_10212,32.25,121.0,7
GP_10213,32.25,121.25,7
GP_10214,32.0,78.75,5
GP_10215,32.0,79.25,5
GP_10216,32.0,79.5,5
GP_10217,32.0,79.75,5
GP_10218,32.0,80.0,5
GP_10219,32.0,80.25,5
GP_1022,52.75,90.0,2
GP_10220,32.0,80.5,5
GP_10221,32.0,80.75,5
GP_10222,32.0,81.0,5
GP_10223,32.0,81.25,5
GP_10224,32.0,81.5,5
GP_10225,32.0,81.75,5
GP_10226,32.0,82.0,5
GP_10227,32.0,82.25,5
GP_10228,32.0,82.5,5
GP_10229,32.0,82.75,5
GP_1023,53.0,91.0,2
GP_10230,32.0,83.0,5
GP_10231,32.0,83.25,5
GP_10232,32.0,83.5,5
GP_10233,32.0,83.75,5
GP_10234,32.0,84.0,5
GP_10235,32.0,84.25,5
GP_10236,32.0,84.5,5
GP_10237,32.0,84.75,5
GP_10238,32.0,85.0,5
GP_10239,32.0,85.5,5
GP_1024,52.75,93.25,2
GP_10240,32.0,85.75,5
GP_10241,32.0,86.0,5
GP_10242,32.0,86.25,5
GP_10243,32.0,86.5,5
GP_10244,32.0,86.75,5
GP_10245,32.0,87.0,5
GP_10246,32.0,87.25,5
GP_10247,32.0,87.5,5
GP_10248,32.0,87.75,5
GP_10249,32.0,88.0,5
GP_1025,59.5,112.5,1
GP_10250,32.0,88.25,5
GP_10251,32.0,88.5,5
GP_10252,32.0,88.75,5
GP_10253,32.0,89.0,5
GP_10254,32.0,89.25,5
GP_10255,32.0,89.5,5
GP_10256,32.0,89.75,7
GP_10257,32.0,90.0,7
GP_10258,32.0,90.25,7
GP_10259,32.0,90.5,7
GP_1026,59.0,121.75,1
GP_10260,32.0,90.75,7
GP_10261,32.0,91.0,7
GP_10262,32.0,91.25,7
GP_10263,32.0,91.75,7
GP_10264,32.0,92.0,7
GP_10265,32.0,92.25,7
GP_10266,32.0,92.5,7
GP_10267,32.0,92.75,7
GP_10268,32.0,93.0,7
GP_10269,32.0,93.25,7
GP_1027,58.0,108.75,2
GP_10270,32.0,93.5,7
GP_10271,32.0,93.75,7
GP_10272,32.0,94.0,7
GP_10273,32.0,94.25,7
GP_10274,32.0,94.5,7
GP_10275,32.0,94.75,7
GP_10276,32.0,95.0,7
GP_10277,32.0,95.25,7
GP_10278,32.0,95.5,7
GP_10279,32.0,95.75,7
GP_1028,58.25,112.75,1
GP_10280,32.0,96.0,7
GP_10281,32.0,96.25,7
GP_10282,32.0,96.5,7
GP_10283,32.0,96.75,7
GP_10284,32.0,97.0,7
GP_10285,32.0,97.25,7
GP_10286,32.0,97.5,7
GP_10287,32.0,97.75,7
GP_10288,32.0,98.25,7
GP_10289,32.0,98.5,7
GP_1029,57.25,107.0,2
GP_10290,32.0,98.75,7
GP_10291,32.0,99.0,7
GP_10292,32.0,99.25,7
GP_10293,32.0,99.5,7
GP_10294,32.0,99.75,7
GP_10295,32.0,100.0,7
GP_10296,32.0,100.25,7
GP_10297,32.0,100.5,7
GP_10298,32.0,100.75,7
GP_10299,32.0,101.0,7
GP_103,33.75,-109.25,12
GP_1030,57.75,108.0,2
GP_10300,32.0,101.25,7
GP_10301,32.0,101.5,7
GP_10302,32.0,101.75,7
GP_10303,32.0,102.0,7
GP_10304,32.0,102.25,7
GP_10305,32.0,102.5,7
GP_10306,32.0,102.75,7
GP_10307,32.0,103.0,7
GP_10308,32.0,103.25,7
GP_10309,31.75,79.25,5
GP_1031,57.75,114.25,2
GP_10310,31.75,79.5,5
GP_10311,31.75,79.75,5
GP_10312,31.75,80.0,5
GP_10313,31.75,80.25,5
GP_10314,31.75,80.5,5
GP_10315,31.75,80.75,5
GP_10316,31.75,81.0,5
GP_10317,31.75,81.25,5
GP_10318,31.75,81.5,5
GP_10319,31.75,81.75,5
GP_1032,56.0,105.75,2
GP_10320,31.75,82.0,5
GP_10321,31.75,82.25,5
GP_10322,31.75,82.5,5
GP_10323,31.75,82.75,5
GP_10324,31.75,83.0,5
GP_10325,31.75,83.25,5
GP_10326,31.75,83.5,5
GP_10327,31.75,83.75,5
GP_10328,31.75,84.0,5
GP_10329,31.75,84.25,5
GP_1033,56.25,107.5,2
GP_10330,31.75,84.5,5
GP_10331,31.75,84.75,5
GP_10332,31.75,85.0,5
GP_10333,31.75,85.5,5
GP_10334,31.75,85.75,5
GP_10335,31.75,86.0,5
GP_10336,31.75,86.25,5
GP_10337,31.75,86.5,5
GP_10338,31.75,86.75,5
GP_10339,31.75,87.0,5
GP_1034,57.0,118.25,2
GP_10340,31.75,87.25,5
GP_10341,31.75,87.5,5
GP_10342,31.75,87.75,5
GP_10343,31.75,88.0,5
GP_10344,31.75,88.25,5
GP_10345,31.75,88.5,5
GP_10346,31.75,89.25,5
GP_10347,31.75,89.5,5
GP_10348,31.75,89.75,5
GP_10349,31.75,90.0,7
GP_1035,56.5,121.5,2
GP_10350,31.75,90.25,7
GP_10351,31.75,90.5,7
GP_10352,31.75,90.75,7
GP_10353,31.75,91.0,7
